"Year","Rank","Institution","Satisfied_with_Course","Satisfied_with_Teaching","Satisfied_with_Feedback","Student_to Staff_Ratio","Spend_per_Student","Average_Entry_Tariff","Value_Added_Score","Career_after_15 months","Continuation","Guardian Score"
"2012","2","Oxford","94","93","70","10","10","535","7.2","81","0","97.9"
"2011","1","Oxford","0","0","0","10","10","531","6.9","80","0","100"
"2022","1","Oxford","0","0","0","10","10","198","6.3","93","98","100"
"2021","43","Oxford Brookes","81","80","68","14","5.7","122","6.9","81","94","62.3"
"2020","33","Oxford Brookes","85","86","72","15","5.7","131","6.3","76","94","62.7"
"2019","41","Oxford Brookes","84","85","72","16","5.2","128","6.2","71","94","67.3"
"2018","50","Oxford Brookes","87","88","74","16","4.9","127","6.3","70","0","60.8"
"2017","57","Oxford Brookes","88","90","78","18","3.9","338","6.4","68","0","60.3"
"2016","48","Oxford Brookes","88","88","75","17","3.7","348","6.3","68","0","64.1"
"2015","39","Oxford Brookes","85","89","73","16","5.6","369","6.2","63","0","64.6"
"2014","35","Oxford Brookes","85","87","71","17","5.9","353","6.8","63","0","66.2"
"2013","48","Oxford Brookes","82","85","66","16","5.5","323","7.1","60","0","59.6"
"2012","42","Oxford Brookes","85","86","67","18","4.9","307","6.9","59","0","60.8"
"2011","48","Oxford Brookes","85","84","66","17","5.2","302","7.1","63","0","60.2"
"2022","46","Oxford Brookes","77","78","65","14","4.7","114","5.8","81","94","68.7"
"2021","53","Plymouth","85","86","76","16","5.1","127","5.6","80","93","60.6"
"2020","60","Plymouth","85","88","76","16","4.9","131","5.4","72","92","53.6"
"2019","66","Plymouth","84","87","73","15","5.3","128","6.1","70","92","62.5"
"2018","78","Plymouth","84","87","73","16","5.2","123","5.9","69","0","54.5"
"2017","76","Plymouth","87","89","77","16","5.2","314","6","59","0","54.2"
"2016","87","Plymouth","85","87","72","17","5.3","312","6","58","0","53.3"
"2015","68","Plymouth","85","87","70","16","6","315","5.1","58","0","54.8"
"2014","59","Plymouth","87","88","70","16","5.9","315","6","60","0","58.1"
"2013","61","Plymouth","80","83","63","16","6.6","300","5.8","59","0","54.5"
"2012","47","Plymouth","78","83","63","16","7.2","294","6.2","61","0","60.1"
"2011","49","Plymouth","81","84","64","15","7.1","274","6.5","54","0","60.1"
"2022","41","Plymouth","80","83","73","17","5","124","7.9","80","92","69.6"
"2021","66","Portsmouth","86","84","73","16","5.9","113","5.5","76","91","58.3"
"2020","21","Portsmouth","87","86","74","15","6.2","115","5.5","85","91","66.1"
"2019","25","Portsmouth","88","87","75","15","5.9","118","6","80","91","72"
"2018","37","Portsmouth","89","88","73","15","5.9","123","6.5","72","0","65.9"
"2017","43","Portsmouth","89","89","76","15","5.4","322","6.4","66","0","64.3"
"2016","49","Portsmouth","88","87","73","16","5.2","309","6.8","66","0","63.8"
"2015","55","Portsmouth","87","86","70","18","4.9","314","7.2","63","0","58.4"
"2014","48","Portsmouth","85","87","69","15","5","388","4.9","72","0","61.9"
"2013","78","Portsmouth","85","85","67","19","4.9","287","3.9","59","0","49.8"
"2012","85","Portsmouth","84","85","66","20","4.9","282","3.3","52","0","49.9"
"2011","85","Portsmouth","85","86","67","20","4.9","272","4.1","51","0","51.4"
"2022","75","Portsmouth","78","80","70","16","6.6","110","5","76","90","64.3"
"2021","65","Queen Margaret","82","84","73","19","2.2","144","6.4","74","89","58.4"
"2020","84","Queen Margaret","82","85","69","18","2.4","151","6.3","73","88","47.4"
"2019","84","Queen Margaret","81","84","67","18","2.6","149","6.2","76","87","58.9"
"2018","100","Queen Margaret","88","88","71","18","2.9","136","6.3","57","0","48.1"
"2017","101","Queen Margaret","84","87","66","18","2.6","351","6.5","60","0","47.4"
"2016","76","Queen Margaret","86","87","68","19","2.7","341","6.8","63","0","57.5"
"2015","69","Queen Margaret","83","88","61","20","2.9","338","6.9","68","0","54.5"
"2014","81","Queen Margaret","81","83","60","20","2.8","332","6.9","52","0","50.8"
"2013","73","Queen Margaret","78","86","59","20","2.5","328","7.1","54","0","51.1"
"2012","56","Queen Margaret","0","0","0","21","2.6","304","7.7","59","0","56.5"
"2011","63","Queen Margaret","0","0","0","18","2.7","294","7.5","63","0","56.4"
"2022","85","Queen Margaret","80","84","71","20","2","160","5.3","74","88","62.2"
"2021","68","Queen Mary","80","80","63","13","4.9","152","6.4","83","93","58.2"
"2020","83","Queen Mary","80","81","63","13","5.8","144","6","78","92","47.9"
"2019","83","Queen Mary","83","83","67","13","6.4","147","4.6","73","93","59.1"
"2018","44","Queen Mary","82","84","66","12","7.2","151","4.9","78","0","62.6"
"2017","34","Queen Mary","86","87","71","12","6.9","417","4.6","73","0","66.8"
"2016","38","Queen Mary","85","85","67","12","7.3","410","5.1","70","0","67.4"
"2015","32","Queen Mary","88","88","69","14","7.3","424","4.8","70","0","67.2"
"2014","36","Queen Mary","86","86","68","12","6.7","416","5.1","71","0","65.8"
"2013","36","Queen Mary","88","86","68","13","7","394","4.7","68","0","64.9"
"2012","36","Queen Mary","85","84","66","13","6.3","385","5.3","67","0","63.6"
"2011","46","Queen Mary","85","83","61","13","6.8","354","4.7","72","0","60.4"
"2022","51","Queen Mary","77","80","61","13","5.6","146","6.1","83","94","67.7"
"2021","46","Queen's, Belfast","82","84","66","14","5.3","152","7","87","95","61.6"
"2020","53","Queen's, Belfast","83","86","69","15","5.4","152","6.1","82","94","55.1"
"2019","52","Queen's, Belfast","87","88","73","15","5.1","152","5.9","79","94","64.8"
"2018","38","Queen's, Belfast","89","90","75","15","4.8","153","5.8","80","0","64.9"
"2017","48","Queen's, Belfast","89","91","74","15","4.6","388","6.2","78","0","62.2"
"2016","45","Queen's, Belfast","87","88","71","15","4.6","383","6.1","75","0","64.7"
"2015","46","Queen's, Belfast","87","89","72","15","4.6","391","5","75","0","60.8"
"2014","48","Queen's, Belfast","87","86","68","19","5.5","316","7","62","0","61.9"
"2013","53","Queen's, Belfast","83","86","62","15","5.2","384","6.2","67","0","57.9"
"2012","50","Queen's, Belfast","85","86","59","14","5.6","361","5.5","63","0","58.8"
"2011","56","Queen's, Belfast","83","85","56","15","5","366","5.9","71","0","57.8"
"2022","33","Queen's, Belfast","79","82","64","14","4.9","148","6.2","87","94","70.8"
"2021","62","Reading","83","83","68","15","5","127","6.3","81","94","58.9"
"2020","68","Reading","83","84","68","15","6.2","132","6","76","95","52.2"
"2019","46","Reading","84","84","71","15","5.9","138","5.7","75","94","66.5"
"2018","29","Reading","88","89","73","14","6.6","138","6.5","74","0","68"
"2017","32","Reading","88","88","70","14","8.1","371","6.3","70","0","69.1"
"2016","25","Reading","89","88","69","14","7","373","5.5","72","0","72"
"2015","30","Reading","87","88","67","14","6.8","375","5","69","0","68.3"
"2014","38","Reading","90","89","67","15","5.1","441","5.7","72","0","65.5"
"2013","25","Reading","89","88","64","14","5.8","374","6.1","66","0","68.6"
"2012","32","Reading","87","86","63","15","5.9","367","5.4","63","0","65.4"
"2011","45","Reading","87","86","61","16","4.8","349","5.5","64","0","60.5"
"2022","61","Reading","78","80","65","16","4.8","122","7.1","81","93","66.5"
"2021","43","Robert Gordon","89","86","76","18","3.3","156","4.9","81","92","62.3"
"2020","76","Robert Gordon","85","84","72","20","3.1","157","4.6","82","91","50.6"
"2019","78","Robert Gordon","84","84","70","20","3.3","157","4.7","78","91","59.5"
"2018","62","Robert Gordon","87","85","69","18","3.8","163","4.5","77","0","57.7"
"2017","44","Robert Gordon","90","89","75","18","3.8","391","4.9","83","0","63.8"
"2016","46","Robert Gordon","86","85","69","19","3.8","384","5.1","81","0","64.4"
"2015","51","Robert Gordon","87","86","70","19","3.6","384","4.8","82","0","59.1"
"2014","55","Robert Gordon","87","86","70","19","4","349","4.6","75","0","59.9"
"2013","35","Robert Gordon","86","85","69","19","5.1","332","4.5","75","0","66.2"
"2012","38","Robert Gordon","83","83","65","19","4.2","294","6.7","76","0","62.6"
"2011","27","Robert Gordon","84","84","66","19","4.4","310","6.5","82","0","65.7"
"2022","83","Robert Gordon","86","85","74","18","3.2","153","4.4","81","90","63.3"
"2021","116","Roehampton","80","80","71","14","5.8","102","3.5","67","89","43.2"
"2020","103","Roehampton","80","81","70","14","7.2","111","4","74","88","40.4"
"2019","109","Roehampton","81","83","66","14","6.5","108","3.8","69","87","52.8"
"2018","93","Roehampton","84","86","71","14","5.8","107","4.7","64","0","50.5"
"2017","90","Roehampton","83","85","72","14","5.9","275","5.7","60","0","52.3"
"2016","78","Roehampton","85","87","74","16","6","285","4.8","57","0","57.2"
"2015","100","Roehampton","85","87","72","20","3.6","286","5.3","53","0","46.4"
"2014","101","Roehampton","83","86","69","20","3.3","275","4.8","54","0","44.8"
"2013","109","Roehampton","79","83","65","20","2.8","258","4.2","57","0","39.1"
"2012","97","Roehampton","79","82","60","18","3.4","258","5.4","54","0","45.8"
"2011","106","Roehampton","80","81","61","19","3.5","242","4.8","52","0","44.3"
"2022","96","Roehampton","74","77","68","15","5.7","100","5.1","67","89","60.3"
"2021","32","Royal Holloway","87","86","72","14","5.5","134","4.9","79","94","63.9"
"2020","42","Royal Holloway","85","87","71","14","5.5","140","5.1","73","94","59"
"2019","38","Royal Holloway","86","87","72","15","5.7","141","4.9","70","94","68.1"
"2018","40","Royal Holloway","88","89","74","14","5.5","146","4.5","68","0","63.3"
"2017","45","Royal Holloway","88","88","75","15","5.1","400","4.7","61","0","63.4"
"2016","40","Royal Holloway","88","88","71","15","5.1","398","4.9","62","0","67.3"
"2015","36","Royal Holloway","88","90","70","15","4.3","405","5.2","63","0","65.2"
"2014","38","Royal Holloway","88","87","65","15","6.1","378","5.6","67","0","65.5"
"2013","39","Royal Holloway","87","88","65","15","5","394","5.6","60","0","63.8"
"2012","35","Royal Holloway","85","87","65","15","4.8","378","4.9","59","0","63.7"
"2011","41","Royal Holloway","85","85","63","14","4.7","365","5.3","58","0","62.7"
"2022","22","Royal Holloway","82","83","68","15","5.1","130","7","79","94","74.1"
"2021","103","Salford","79","80","74","16","3.3","127","4.5","78","89","49"
"2020","91","Salford","84","85","76","16","3.1","130","5","73","87","45.6"
"2019","88","Salford","82","84","75","15","3.4","127","4.8","70","87","58.2"
"2018","99","Salford","82","84","76","16","3.9","126","5.7","60","0","48.6"
"2017","83","Salford","82","85","74","16","4","334","5.5","59","0","53.6"
"2016","90","Salford","78","81","70","17","4.5","334","4.8","56","0","51.9"
"2015","94","Salford","79","83","68","17","3.8","340","4.9","60","0","47.6"
"2014","85","Salford","80","81","67","17","3.9","300","4.6","55","0","49.9"
"2013","84","Salford","79","82","64","16","4","283","4.7","53","0","48.5"
"2012","109","Salford","78","80","64","23","3.5","278","4.3","51","0","41.7"
"2011","100","Salford","78","80","62","18","4.1","263","4","56","0","46.3"
"2022","94","Salford","73","77","71","16","4","126","4.6","78","90","60.5"
"2021","31","Sheffield","86","85","70","14","5.3","152","5.7","84","96","64.2"
"2020","45","Sheffield","85","85","69","15","4.8","157","5.2","84","96","58.5"
"2019","39","Sheffield","86","87","69","14","4.7","156","5.1","82","96","67.9"
"2018","40","Sheffield","89","89","71","14","5.2","160","5.6","81","0","63.3"
"2017","41","Sheffield","90","90","71","14","5.6","420","5.7","75","0","64.8"
"2016","42","Sheffield","88","88","67","15","5.5","428","5.7","77","0","66.4"
"2015","37","Sheffield","89","90","70","14","5.7","438","5.5","72","0","65.1"
"2014","38","Sheffield","87","88","69","16","4.6","400","5.7","64","0","65.5"
"2013","42","Sheffield","90","89","65","15","5","444","5.2","68","0","63"
"2012","33","Sheffield","88","88","63","14","4.8","425","5.5","69","0","64.5"
"2011","31","Sheffield","88","88","62","14","4.8","409","5.7","69","0","65.1"
"2022","27","Sheffield","82","84","67","14","4.9","150","5.5","84","96","72.8"
"2021","47","Sheffield Hallam","84","85","74","16","5.6","116","6.1","80","92","61.3"
"2020","55","Sheffield Hallam","86","87","74","17","5.4","119","6.3","73","91","54.7"
"2019","70","Sheffield Hallam","84","85","72","16","5.2","123","6.4","69","91","62.3"
"2018","85","Sheffield Hallam","84","85","72","16","5","119","6.5","68","0","52.7"
"2017","86","Sheffield Hallam","85","87","73","16","5.3","305","6.1","61","0","53.1"
"2016","74","Sheffield Hallam","84","85","71","17","5.1","319","6.6","58","0","57.9"
"2015","73","Sheffield Hallam","81","84","69","18","4.8","321","6.6","57","0","53.5"
"2014","72","Sheffield Hallam","81","83","67","20","4.4","316","7.2","55","0","54.2"
"2013","83","Sheffield Hallam","79","80","64","19","3.9","302","7.2","54","0","48.7"
"2012","65","Sheffield Hallam","79","81","63","19","4.4","286","7.2","57","0","54.2"
"2011","71","Sheffield Hallam","76","80","59","19","4.6","270","7.8","59","0","54.3"
"2022","59","Sheffield Hallam","76","80","69","17","5.5","115","6.4","80","91","66.8"
"2021","86","SOAS","78","83","67","11","8.9","158","4.9","71","86","54.5"
"2020","56","SOAS","77","81","66","11","7","156","4.6","71","87","54.3"
"2019","58","SOAS","85","88","68","12","6.1","147","5.1","70","88","63"
"2018","25","SOAS","88","90","72","11","6.4","152","6.1","70","0","70.6"
"2017","30","SOAS","88","89","67","11","6.9","410","6.1","68","0","69.3"
"2016","26","SOAS","87","89","65","10","6.5","406","6.7","62","0","71.4"
"2015","24","SOAS","88","89","66","11","6","422","7.1","66","0","69.4"
"2014","22","SOAS","83","88","60","11","7","437","7.2","67","0","71.1"
"2013","29","SOAS","86","86","62","11","7.2","410","6.9","59","0","67.5"
"2012","13","SOAS","84","88","65","11","7","418","6.9","62","0","73.7"
"2011","11","SOAS","86","87","65","12","6.5","381","6.4","68","0","73.1"
"2022","77","SOAS","76","82","65","12","8.1","148","6.6","71","88","64.2"
"2021","74","Solent","83","84","76","15","3.4","121","4.9","70","89","57"
"2020","73","Solent","83","84","74","15","3.6","119","5.2","70","87","51.3"
"2019","81","Solent","81","83","72","15","3.5","115","5.6","64","87","59.3"
"2018","103","Solent","80","83","70","15","4","100","5.6","56","0","47.4"
"2017","100","Solent","81","82","70","16","4.3","278","5.7","54","0","48.2"
"2016","114","Solent","79","80","69","18","3.7","276","3.8","50","0","42.6"
"2015","107","Solent","77","79","67","18","3.5","298","5","48","0","43.2"
"2014","111","Solent","79","80","64","20","3.5","282","4.1","43","0","40.2"
"2013","117","Solent","72","76","62","21","3.4","265","2.4","40","0","31.2"
"2012","112","Solent","76","79","67","21","3.6","262","2.4","42","0","39.4"
"2011","115","Solent","72","76","64","22","3.4","237","2.4","46","0","35.7"
"2022","97","Solent","77","81","73","16","3.5","110","5.8","70","89","60.1"
"2021","66","South Wales","82","84","76","14","4.6","120","4.9","73","90","58.3"
"2020","98","South Wales","82","85","76","14","3.8","125","4.4","62","89","42.5"
"2019","109","South Wales","78","81","72","14","3.8","128","3.9","61","88","52.8"
"2018","116","South Wales","80","83","72","17","3.4","112","4.1","55","0","38.4"
"2017","111","South Wales","79","84","70","16","3.2","319","4.7","57","0","42.6"
"2016","113","South Wales","79","81","69","20","3.5","320","4.6","54","0","42.7"
"2015","102","South Wales","80","82","69","22","4.5","321","4.8","56","0","46.1"
"2022","82","South Wales","75","80","73","14","5.5","113","4.4","73","90","63.9"
"2021","23","Southampton","84","84","71","13","5.9","153","7","84","94","67.1"
"2020","24","Southampton","83","85","72","13","5.4","160","6.7","82","94","64.9"
"2019","23","Southampton","83","86","70","12","5.6","158","6.2","80","95","72.7"
"2018","35","Southampton","87","88","69","13","5.8","151","5.9","78","0","66.1"
"2017","16","Southampton","89","89","69","12","6.7","417","6.5","78","0","74.9"
"2016","14","Southampton","86","87","67","12","6.9","410","6.5","77","0","76.2"
"2015","19","Southampton","88","88","67","12","6.6","431","6.3","76","0","72.5"
"2014","24","Southampton","88","88","66","13","6.5","437","5.9","66","0","70.9"
"2013","22","Southampton","85","86","62","13","6","439","6.4","69","0","69"
"2012","28","Southampton","86","86","60","13","6.2","427","6.2","63","0","67.1"
"2011","18","Southampton","87","88","60","13","6.4","406","6.4","73","0","70"
"2022","17","Southampton","82","84","68","13","6","151","6.6","84","95","74.8"
"2021","2","St Andrews","94","93","80","11","7","211","6.3","84","97","98"
"2020","2","St Andrews","93","93","79","11","6.1","208","6.6","80","97","97.9"
"2019","3","St Andrews","93","94","82","11","5.2","206","7.1","81","97","97.2"
"2018","3","St Andrews","94","95","83","11","5.9","204","7.1","83","0","94.5"
"2017","3","St Andrews","89","91","74","11","6.9","524","7","83","0","90.8"
"2016","3","St Andrews","92","92","74","11","7.9","517","6.9","78","0","91.8"
"2015","3","St Andrews","92","94","75","11","7.5","523","7.7","79","0","92.4"
"2014","4","St Andrews","87","91","66","12","7.9","524","8","73","0","88.2"
"2013","4","St Andrews","93","95","69","13","7.9","518","7.3","71","0","86.1"
"2012","3","St Andrews","93","95","68","13","7.3","484","7.2","73","0","85.3"
"2011","4","St Andrews","92","93","70","13","6","454","6.9","71","0","81.3"
"2022","3","St Andrews","93","92","79","11","7.3","207","5.6","84","96","96.8"
"2021","101","St Mary's Twickenham","83","85","72","18","2.6","110","6","74","88","49.8"
"2020","77","St Mary's Twickenham","87","89","74","16","2.5","119","6.1","72","88","49.8"
"2019","80","St Mary's Twickenham","84","85","69","15","4","119","5.6","71","89","59.4"
"2018","105","St Mary's Twickenham","85","87","67","17","3.2","122","3.7","69","0","46.5"
"2017","106","St Mary's Twickenham","92","92","72","20","4.6","293","3.3","66","0","45.1"
"2016","100","St Mary's Twickenham","87","89","72","20","3.1","288","3.9","63","0","48.6"
"2015","96","St Mary's Twickenham","86","87","72","22","3","293","4.4","66","0","47.2"
"2014","89","St Mary's Twickenham","88","89","72","25","3","297","4.8","58","0","49.3"
"2013","97","St Mary's Twickenham","87","89","69","23","2.4","264","4.2","57","0","44.2"
"2012","82","St Mary's Twickenham","84","89","70","22","2.3","244","5.1","57","0","50.1"
"2011","86","St Mary's Twickenham","84","86","67","21","2.6","243","5.1","64","0","51.3"
"2022","104","St Mary's Twickenham","82","85","72","18","2.5","105","6.6","74","89","59"
"2021","55","Staffordshire","84","86","79","17","5.9","120","4.7","71","89","60.3"
"2020","37","Staffordshire","85","88","80","15","6.6","120","4.8","81","86","61.8"
"2019","44","Staffordshire","84","87","78","14","6.4","115","4.4","80","83","66.7"
"2018","67","Staffordshire","85","88","78","15","5.9","114","4.5","57","0","56.7"
"2017","69","Staffordshire","81","84","75","15","5.8","265","5.6","58","0","55.3"
"2016","83","Staffordshire","84","86","72","17","6.2","274","4.9","55","0","56"
"2015","90","Staffordshire","83","85","71","17","5.1","273","4.2","55","0","48.8"
"2014","92","Staffordshire","84","85","72","20","5.7","253","3.8","48","0","48.6"
"2013","96","Staffordshire","80","83","68","21","6","246","4","55","0","45.1"
"2012","77","Staffordshire","82","82","66","21","5.7","238","4.7","56","0","51.9"
"2011","69","Staffordshire","78","80","65","19","6.3","239","5.2","63","0","54.6"
"2022","72","Staffordshire","79","84","77","17","5.8","118","3.6","71","89","64.6"
"2021","28","Stirling","84","85","75","16","3.8","165","4.9","81","90","65.6"
"2020","45","Stirling","85","88","72","16","3.9","163","5.1","79","91","58.5"
"2019","40","Stirling","87","88","72","15","3.6","158","5","74","91","67.5"
"2018","54","Stirling","89","88","73","15","3.9","157","6.2","78","0","60.2"
"2017","58","Stirling","86","88","68","14","3.8","376","6.2","73","0","60.2"
"2016","65","Stirling","87","87","68","15","4.1","375","4","70","0","59.2"
"2015","63","Stirling","85","87","66","15","4.2","380","3.9","64","0","56.6"
"2014","56","Stirling","86","84","70","19","3.8","324","4.4","66","0","59.1"
"2013","67","Stirling","88","88","70","20","4.5","332","4.9","56","0","53.7"
"2012","44","Stirling","89","88","69","19","4.3","296","7","60","0","60.7"
"2011","27","Stirling","88","88","69","17","5.2","310","7.1","65","0","65.7"
"2022","49","Stirling","83","85","73","15","3.1","167","3.7","81","90","68.4"
"2021","15","Strathclyde","86","86","66","19","6.4","197","6.1","86","92","70"
"2020","51","Strathclyde","84","85","64","19","5.1","200","5.9","79","91","56.4"
"2019","53","Strathclyde","87","87","66","19","5.2","201","5.5","79","91","64.6"
"2018","52","Strathclyde","89","89","67","19","5.2","202","4.9","78","0","60.6"
"2017","51","Strathclyde","84","87","62","19","6.7","475","4.8","72","0","61.5"
"2016","33","Strathclyde","89","89","65","19","6.5","476","5.4","77","0","70.1"
"2015","38","Strathclyde","87","88","63","19","6","470","5.3","75","0","64.8"
"2014","26","Strathclyde","87","89","66","18","6.6","465","5.5","71","0","70.5"
"2013","34","Strathclyde","87","86","61","17","5.9","435","6.4","67","0","66.4"
"2012","29","Strathclyde","85","85","60","18","6.2","391","6.8","66","0","66.9"
"2011","25","Strathclyde","85","84","61","17","6.1","384","5.7","71","0","65.9"
"2022","18","Strathclyde","85","86","65","18","6.6","199","5.2","86","92","74.6"
"2021","97","Suffolk","79","84","73","16","5.8","105","5.1","80","85","51"
"2020","119","Suffolk","78","81","73","18","5.9","117","4.7","65","83","31.4"
"2019","102","Suffolk","78","81","72","17","6","118","3.7","66","83","54.3"
"2018","115","Suffolk","79","82","73","19","0","112","2.5","61","0","39.2"
"2017","97","Suffolk","84","86","78","20","0","308","2.3","55","0","48.7"
"2016","99","Suffolk","82","84","73","18","0","334","2.4","56","0","48.8"
"2015","78","Suffolk","82","84","74","19","0","338","4","60","0","52.6"
"2014","98","Suffolk","79","85","73","20","0","290","2.5","48","0","46.2"
"2013","114","Suffolk","74","81","69","19","0","263","2.2","48","0","36.2"
"2012","117","Suffolk","71","80","67","25","0","232","2.6","53","0","35.6"
"2022","67","Suffolk","73","81","71","16","6.4","112","4","80","86","65.2"
"2021","100","Sunderland","82","83","72","15","6.6","112","4.5","72","87","50.2"
"2020","89","Sunderland","83","86","74","15","6.4","114","4.3","67","87","46.5"
"2019","74","Sunderland","82","85","72","15","5.7","119","5","68","86","60.9"
"2018","71","Sunderland","80","85","73","15","6.9","112","4.8","66","0","55.5"
"2017","79","Sunderland","83","85","75","16","6.9","290","4.6","62","0","53.9"
"2016","109","Sunderland","83","85","72","19","6.5","294","4.4","51","0","44.8"
"2015","77","Sunderland","82","85","72","17","6.9","302","4.3","49","0","52.9"
"2014","65","Sunderland","80","84","71","17","6.9","271","5.7","43","0","56.3"
"2013","57","Sunderland","82","84","73","16","7.1","274","4.8","47","0","55.6"
"2012","48","Sunderland","82","83","68","15","6.7","244","6.2","51","0","59.7"
"2011","52","Sunderland","83","84","71","16","5.6","229","6.3","53","0","58.9"
"2022","92","Sunderland","80","83","74","15","7","115","3.6","72","87","60.6"
"2021","54","Surrey","81","81","64","15","5.6","147","5.4","87","94","60.4"
"2020","26","Surrey","83","84","69","16","5.4","156","6.3","80","94","64.4"
"2019","21","Surrey","87","87","74","15","5.8","162","7","77","93","74.7"
"2018","10","Surrey","90","90","77","15","6.1","166","6.5","82","0","78"
"2017","4","Surrey","92","92","79","13","6.2","424","6.4","78","0","85"
"2016","4","Surrey","90","90","76","14","7.2","424","6.2","82","0","87.7"
"2015","6","Surrey","90","91","74","15","7.5","422","6.7","73","0","82.5"
"2014","8","Surrey","90","89","73","16","7.8","417","6.7","69","0","81.1"
"2013","12","Surrey","87","87","69","17","7.5","394","6.1","69","0","73.5"
"2012","19","Surrey","83","84","62","19","7.2","388","5.8","74","0","69.5"
"2011","20","Surrey","85","84","63","18","6.7","371","6.4","76","0","67.7"
"2022","57","Surrey","80","81","65","16","4.6","136","3.9","87","94","67"
"2021","59","Sussex","82","82","67","17","6.5","142","4.6","80","95","59.3"
"2020","41","Sussex","82","83","67","15","6.7","148","4","81","94","60.3"
"2019","26","Sussex","87","87","69","16","7","144","4.5","80","94","71.9"
"2018","20","Sussex","88","87","69","16","7.2","141","5.2","86","0","72.5"
"2017","20","Sussex","86","87","67","15","7.6","375","5.3","83","0","73.6"
"2016","19","Sussex","85","87","67","15","7.8","386","5.3","77","0","74.5"
"2015","43","Sussex","88","88","65","16","6","408","5.5","54","0","61.9"
"2014","50","Sussex","86","87","62","17","4.8","407","6.3","55","0","61.4"
"2013","27","Sussex","88","90","67","16","5.1","381","7.5","64","0","67.7"
"2012","11","Sussex","91","92","72","16","4.6","378","7.5","66","0","73.8"
"2011","15","Sussex","87","89","65","15","5","369","6.9","70","0","70.4"
"2022","44","Sussex","77","80","63","17","6.3","136","4.1","80","95","68.9"
"2021","24","Swansea","88","85","73","15","6.2","128","5.8","84","94","66.9"
"2020","31","Swansea","89","86","73","15","5.5","132","5.7","86","93","62.9"
"2019","31","Swansea","88","86","73","15","4.7","138","5.9","82","93","69.9"
"2018","45","Swansea","89","87","73","15","5.3","119","6.4","80","0","62.5"
"2017","39","Swansea","91","90","74","14","4.9","325","6.1","81","0","64.9"
"2016","52","Swansea","88","86","71","15","4.8","326","5.7","79","0","61.7"
"2015","57","Swansea","84","85","68","15","4.8","340","5.7","77","0","57.8"
"2014","60","Swansea","86","86","64","16","5.1","359","4.9","69","0","57.5"
"2013","88","Swansea","82","82","61","16","4.2","342","4.9","61","0","47.8"
"2012","94","Swansea","84","84","64","16","3.9","311","4.3","56","0","47.1"
"2011","93","Swansea","87","85","64","15","4","296","3.8","55","0","48.6"
"2022","24","Swansea","86","84","71","14","5.7","130","4.7","84","93","73.5"
"2021","68","Teesside","82","85","78","18","5.2","118","6.1","82","89","58.2"
"2020","70","Teesside","83","86","75","18","5.5","118","5.6","81","88","51.9"
"2019","68","Teesside","83","85","76","17","5.5","119","5.1","78","89","62.4"
"2018","79","Teesside","83","87","76","16","5.4","118","4.9","66","0","54.2"
"2017","102","Teesside","85","88","75","17","5.8","305","3.7","60","0","47.3"
"2016","91","Teesside","83","85","74","17","5.5","305","4.1","58","0","51.6"
"2015","84","Teesside","84","85","78","18","4.6","323","4.7","53","0","51.8"
"2014","74","Teesside","82","84","65","17","5.4","312","4.4","61","0","53.5"
"2013","78","Teesside","82","84","74","19","5.4","288","4.7","53","0","49.8"
"2012","60","Teesside","82","82","72","19","5.2","266","5.3","57","0","55.2"
"2011","79","Teesside","84","83","73","20","4.6","255","5.5","54","0","52.6"
"2022","80","Teesside","74","81","74","17","5.6","113","5.9","82","88","64"
"2021","56","Trinity Saint David","83","86","80","16","5.3","118","5.8","62","85","59.4"
"2020","57","Trinity Saint David","86","88","80","15","3.8","109","5.8","67","84","54.1"
"2019","85","Trinity Saint David","82","85","77","15","3","111","5","53","86","58.7"
"2018","112","Trinity Saint David","80","85","77","15","4","93.5","5","0","0","43.7"
"2016","117","Trinity Saint David","79","84","72","22","4.2","265","2.7","50","0","36.3"
"2014","118","Trinity Saint David","75","82","65","21","4.1","241","2","49","0","31.2"
"2013","110","Trinity Saint David","81","84","66","18","4.3","246","2.4","43","0","38.9"
"2012","101","Trinity Saint David","78","83","65","18","2.7","248","2.3","58","0","45.2"
"2011","97","Trinity Saint David","82","85","62","16","3","255","1.2","65","0","47.6"
"2022","74","Trinity Saint David","78","83","77","18","4.2","134","5.3","62","87","64.4"
"2021","14","UCL","81","82","64","10","7.4","175","6.2","89","95","70.1"
"2020","22","UCL","79","81","62","10","7.4","187","6.5","83","95","66"
"2019","11","UCL","80","83","63","10","8.8","190","6.9","81","96","78"
"2018","10","UCL","84","86","66","10","8.4","193","6.7","86","0","78"
"2017","14","UCL","81","85","63","10","8.3","506","6.6","82","0","76.3"
"2016","12","UCL","85","86","61","10","8.7","502","6.6","80","0","81"
"2015","11","UCL","83","85","62","10","8.8","521","6.7","81","0","80.2"
"2014","5","UCL","83","85","61","10","9","510","7.1","81","0","85.5"
"2013","6","UCL","88","87","61","10","8.6","495","7.1","77","0","80.7"
"2012","5","UCL","87","87","62","9.7","8.4","474","7.5","77","0","82.5"
"2011","5","UCL","87","86","62","8.9","8.5","455","7","77","0","79.5"
"2022","9","UCL","78","81","63","10","7.8","176","6.7","89","95","82"
"2021","38","UEA","85","85","70","13","4.2","139","6.1","82","93","63"
